Nama,Komentar
Alwi velin,KADO Dibulan kemerdekaan RI.. SELAMAT!!
Wahyudi Mayada,"Yaa Allah... Jadi terharu...
Semua rakyat indonesia pasti bangga dg perjuangan kalian berdua😘😘"
ANGELA DAN BUNDA,"Nonton ini karena atasan saya share foto kemenangan ganda putri ini. Langsung auto searching di Youtube. Langsung nemu ini.
Pas nonton, ikutan aura kemenangan.
Dan auto meneteskan air mata keharuan."
Ihsan abdul maik Malik aja,Ya allah semoga saya juga bisa membagakan negara saya dan agama saya ❤️❤️ aamiin ya roob
dian paras 8,"Selalu terharu,bolak balik saya putar..."
Nazira Umarro,Alhamdulillah Indonesia juara...
Nanda fran,Adakah yg melihat di menit 1:18 sampai menit 1:21 ada seorg bapak berdoa di pojok kanan bawah?
Suci Nurul Aulia,Kado terindah 17 agustus 2021 ❤❤❤❤ indonesia
Chlyza,"Huhuuu keren bngttt , congrats greysia& apri😭😭"
Aisyah Putri,Ya Allah Trimakasih Greysap.....ini Adalah Kado UnTuk HUT Indonesia
Nigel Chong,From celebes for Indonesia.... So proud
mawar rada sembiring,"Aku nangis dong,indonesiaaa🇲🇨"
Trio Januwardi,Merindingg. Campur bangga
Soebandi Mufashi,Ya Allah alhmdulillah menang..indonesia jaya
sunflowernow,Komentatornyaa nangiss huhu semua menangiss
Niwde,Tercatat sejarah ya ? Tim ganda putri yg pertama kali menang kalo salah maaf yak
Novi Ozil,"Kado terindah HUT 🇮🇩 Indonesia ke 76 merdeka, merdeka,merdekaaaaaaaaaa💪💪💪"
Jin Mori,"Menetes air mata, kado buat hut RI😭😭😭"
Acha Marsya,Nangis liat ini kmrin.....tontonan sperti ini sgt patut jd ternding topik.
Diki Rahman,"Merinding, jadi berkaca kaca"
kang Arizal,"WOIII INDOSIAR KALO NAYANGIN VOLLEY YG NIAT, TIME OUT GK SAMPE 15 DETIK IKLANNYA 5 MENITTT... 😡😡😡"
Putra Channel,"Gua cowok..
Gua nangis 😭😭(bahagia)"
Marsha Nadya P,WOW LANGSUNG TRENDING 1 !!!!! GILAA TERHARU WOE
Kiki Wijaya,"Senang ngeliat nya ,,, 
Iloveu indonesia"
INDONESIA JAYA,Sebuah perjuangan yang membuahkan hasil next 2024 semoga sapu bersih 5 emas 🤲
Alfin Doni Saputra,Wahh.... Good job sayang jogetnya ngga diliatin😂
Bagus indra,PPKM :Pelan Pelan Kita Menang
Muhammad Masludi,"Jujur gw sedih gr"" komentator nya"
Esa Randisca,"pada sadar gak sih , Setiap Indonesia Juara , Komentatornya bung Jebret"
Dedi Irawan ZS,Jadi merinding liatnya😬
Anon,Nitip podcast gadis desa ~> https://youtube.com/playlist?list=PLS1OfCjVvojdGHrM2ZzGOYkga4ZEO03hn
Rizal Erick,Rakyat indonesia bangga kepadamu
Dhea Dheo,Alhamdulilah dapat mendali emas.
Phaibun,0:50 Ini ekspresi lu ketika tau mantan lu udah punya pasangan yang jauh lebih guud luking daripada lu :v
Sohibin Abdullah,Wis langsung tranding greyap
Fahri Irham,"3 Jam Tembus 1,2 Juta Keeerenn"
GalihWaski,SIAPA KITAAA INDONESIA♥️☝️!!!!!! SIAPA KITA ALTER ego:v
Mudo Dewadi Purba,Hadiah untuk kemerdekaan Indonesia ke 76 tahun. 🇮🇩🔥
Airlangga Bima,Merinding gillaaaa
orsella nuraina,"Masyallah terimakasih banyak pahlawan, Indonesia akan selalu mengenang perjuangan kalian"
Jones St,"Inilah seharusnya wajah srikandi indonesia gigih berjuang,tangguh, pantang menyerah, dan bermental pemenang. Saluut... 👏👏👏🥺"
Demi eliyana,"coba gw nonton diindosiar pst lebih seru lgi komentatornya ,bangga dan terharu 🥇💪 lgkap sudah medali emas,terimakasi gresafri kado ultah RI 💪"
Adelia agatha,"Sangat terharu, pas nnton bener² ikut nangis teriak² jg. Proud of u guys, congrats!♥"
Mutz Cemendokek,Terharu 😭😭😭 siapa yang taruh bawang disini? 😅 Terimakasih ini adalah hadiah untuk HUT RI kemerdekaan nanti. 🥳
Laila Ramadhani,Bangga banget liatnya ❤🇮🇩 Terimakasih buat putra & putri terbaik Indonesia atas prestasi kalian ❤
Shafira Anastasya,Alhamdulillah... Bangga & terharu...selamat untuk Greysia & Apriyani... 🙏
Stepfanus N,"Puji Tuhan 🇲🇨🇲🇨🇲🇨❤️❤️❤️, jangan lupa bersyukur, kalian adalah pahlawan bangsa, aku bangga melihat kalian bermain dengan indah ❤️❤️❤️"
GULTOM CHANNEL87,"Amazing moment..
Kalian luara biasa,kami bangsa indonesia bangga dengan kalian,akhirnya lagu indonesia raya berkumandang di olimpiade tokyo jepang..😭😭😇"
Bintang Alwi,"Bulutangkis Indonesia dpt emas SCORE .21+19. 21+15 jumlah 76 HUT.RI yang ke 76
Ajaib ya angka kemenangan nya ❤️❤️"
Mifta Khul jannah,"Alhamdulillah
Selamat buat Greysia poli & Apriyani Rahayu ❤️
Kebanggaan Indonesia 🙏"
Khairatun Nisa,"Nangis bangettttt nonton, alhamdulillah ya allah terimakasih greyap telah berjuang😭😭😭"
sunindo,"Ya Allah, bangga sekali, nangis terharu liatnya 🇮🇩🇲🇨"
EGI A.K,"SELAMAT UNTUK GREYSIA POLLI DAN APRIANI RAHAYU ATAS KEMENANGAN NYA,DAN TERIMAKASIH TELAH BERJUANG UNTUK NEGARA INDONESIA  TERCINTA INI,MERDEKAAAAA🇮🇩‼️"
Alfian Dc,"Asli merinding lihatnya, MERDEKA🇲🇨"
ana fie,Alhamdulillah ..bangga .. terimakasih  buat kerja kerasnya🥇🥇.terharu ...
Supri Yanto,Terharu saya melihatnya. Semoga ini menjadi tombak sejarah bagi indonesia untuk selalu berlatih lebih semangat lagi
Sain b nuri official,Air mataku tak terbendungkan 😭 terharu.INDONESIA MERDEKA
Kaum Sudro,Terharu .... Indonesia bisa Indonesia juara .....ia the best..
Zulhadi Angkat23,"Bonus milyaran sdh menunggu, selamat buat duet srikandi Indonesia."
IN THE WORD,i really proud of you guys !!!
Rus Azazi Gusti Asti,Sumpah nangis lihatnya 😭😭❤️❤️❤️bangga sekaliiii ❤️❤️😭
Pia Nuristiana,"CONGRATS, GREYS AND APRI, INDONESIA!! 🔥💪💪"
Ria Meiriana,Selamat greysia & apriyani .. Klian luar biasa ..yeahhh medali emassss .. We proud of both of you 🤗
Algy Haridsyah,"Gua nangis liat perjuangan mereka hari ini, defense ajaib yg diperlihatkan luar biasa...😭😭😭"
Daswati Das,Selamat kpd gresyia dan apriyani ygtelah mempersembahkan mendali emas utk indonesia sbg hadiah utk ulang tahun kemerdekaan RI
Petronela Haghe,Terimakasih sudah mengharumkan Nama Bangsa Indonesia di mata dunia..Kmi turut Bangga.
Meria Intan,"Proud of you both!!! Thank you so much!!!!!
Ikutan nangis."
Muhammad Syakir ridho,"Alhamdulillah emas😭 , dan jgan lupa juga semoga ginting dapat perunggu aamiin🙏"
Andi Besbes,Sayang kita tidak bisa nonton live di tv indonesia sendiri. Sedih sekali
Tata Hendika,Kami selaku bangsa Indonesia mengucapkan selamat dan terimakasih telah mengharumkan nama Indonesia di kancah internasional 🥇🇲🇨
efri padli,"The new combo legend just born..
Congrats mbak2..
Bangga sangat ma kalian berdua..
Very great job..(tearing down while typing)"
Kevin Stevano,is the best..! power & mental juara. congrats ❤🇮🇩
Pakappalak Tallangk,"Alhamdulillah indonesia... 
Menyumbangkan satu medali emas dari cabangk bulu tangkis... 
Saya sangat terharu dan sangat bangga pada kalian Srikandi khu... 
Indonesiaaaa juaraaaaa....!!!!"
Nanang Ep,"Kado 🏆untuk indonesia 76 tahun merdeka.
Semoga mereka berdua dapat perhatian khusus dari pemerintah 🇲🇨"
Septian Niyazi,"Terimakasih , indonesia bangga padamu , maaf jadi ikutan nangis terharu 😭, 
Siapa kita INDONESIA 🇮🇩🇮🇩🇮🇩"
Farizul Hakim,1:57 wkwk Apri menghindar dari rangkulan Jia 🤣
RivanPramana,Alhamdulillah akhirnya Indonesia kembali bangga dengan para atletnya
dien panjaitan,Alhamdulillah... Barokallohu fiikum... Luar biasa perjuangan nya 👍 Indonesia Juara 🏆
Mhiersya 20okt,Terharu bahagia kemenangan INDONESIA dapat hadiah ULTAH YG 76 🙏🙏🙏
Ruslan Ucan,Bangga dan mewek gw liat perjuangan mereka 😭🤲🤲🙏
yuan fayzil,"kalian sadar ga sih kalau skornya pas banget dngn umur RI nanti 21+21+19+15= 76.
kado terindah HUT RI ke 76 tahun🥰🥰🥰"
Akatsuki Channel,"Trimakasih sudah memberi kado terindah di bulan kemerdekaan indonesia ,berjuata orang indonesia menangis melihat ini ,🥺🥺🥺,"
Yudith Dewanty Permana,Terharu ikut nangis .. kami bangga dan terimakasih 😭🥰😍😘❤️🇮🇩🇮🇩🇮🇩
Jajak Srinahan,"Mengharukan sekali..
Alhmdllah Ya Allah.. akhirnya Indonesia meraih emas.."
ican chandra channel,Terus berjuang Indonesia ku ❤️
ayra z swara,Skor yang sangat unik 21-19 dan 21-15... jika skor di tambah smua 21+19+21+15=76... tepat dengan kemerdekaan indonesia ke 76... entah kebetulan atau ke ajaiban.. tapi kami bangga.... selamat gres/apri atas perolehan medali emas...
sinta,"Siapa kita indonesia siapa kita indonesia congrats buat apri dan greys atas kerja keras dan terimakasih untuk para atlete lainnya yg sudah berjuang untuk indonesia. semangat terus untuk kedepannya 
INDONESIA BISA 
INDONESIA MAJU "
Naufal WiddadOfficial23,"Merinding,... Terimakasih kerja kerasnya bangga Indonesia"
Rita,"Masya Allah, terharu 😭😭"
NIKO SANDAY,"Yaaaaaaampuuun terharu ..... terimakasih Kakak Greysia dan Apriyani 
Salut banget sama kalian berdua. Emas ganda putri untuk INDONESIA!!!"
Janto Gunawan,"Congratulations buat Ganda Putri Indonesia 🇮🇩.
Bangga, bendera 🇮🇩 bisa berkibar dari cabang olahraga bulutangkis"
VeNi NiNa,😭😭 terharu Indonesia bangga punya Rahayu & Gresya 🥰🥰
Wahyuni Channel,Ikutan nangis. ya Allah... Terima kasih... Greysapp terimakasih buat kalian
Nn. Park,"Selamattttt, Selamattt selamattt........ rasanya bangga bangeett ♥️😍🎉"
Yoga,"Siapa Yang Setuju jika Kita Sesama Umat Beragama saling Bergandengan Tangan Untuk Merubah Indonesia semakin Baik,
Grasya polli: Kristen
Apriyani Rahayu: Islam"
Lika Nurlia,MasyaAllah sedih pengen nangis sangking terharunya... Selamat Kaka
Joe Hartoyo,"Alhamdulillah...
Kado terindah kemerdekaan Indonesia... ❤️❤️❤️"
suradi se,"Alhamdulillah, semoga  negara mengapresiasi pahlawan olah raga itu"
Muhammad Sigani,"Suka banget ganda putri ini, bertanding tapi selalu senyum ❤"
Haji Sucipto,Terharu sekali setelah melihat Apriyani bersujud syukur atas diraihnya Medali Emas di Olimpiade Tokyo Jepang ini.
Chanel qodier,Merinding😢 alhamdulillah terimakasih untuk kado indonesia😢❤
Khotiman Artur,"Alhamdulillah... Terharu, Terima Kasih G.Polli/A.Rahayu, Indonesia bangga pada kalian, Merdeka.."
Riska Aulia,ALHAMDULILLAH YA ALLAH!!!! AKHIRNYA INDONESIA DAPAT EMAS DAN AKHIRNYA LAGU INDONESIA RAYA DINYANYIIN LAGI DI DUNIA!!!!
Wa TiON,"Nangis liat sinetro sedih ✖️
Nangis liat ganda putri juara ✔️"
Sava Salsabilla,"Selamat 🎊🎉Greysia & Apriliani banggakan Indonesia selalu.. 
Bangga dengan kalian.."
IHSAN ICANG28,Terlalu bangga jdi merinding trus pen nangis 😭❤️
Nuraida Fitri,Terimakasih telah memberikan kado terindah untuk ulang tahun negara kita 💟
Rafasy Maduzy,Alhamdulillah ya Allah. Terima kasih ya Allah. Terima kasih greysia/apriyani. Indonesi bisa. Indonesia bersatu dan jaya. 🏸🏅
Maudongh ChanneL,"Alhamdulillah, terimakasih para pejuang sportifitas kita 🙏🏻😍, tetap bersahaja 👆🏻😍🙏🏻"
Pecinta Sinetron Indonesia,Merinding kawan... Selamat dan terimkasih atas perjuangan kalian GREYAP..
lukman hakim,Terima kasih buat greysa poli & Apriani rahayu
Dewa kolor,Asli kagum bgt sm perjuangan greyap...trimakaaih sudah berjuang sampai titik darah penghabisan buat mndapatkan medali emas utk Indonesia 🏅🏅🇮🇩🇮🇩kalian kini mnjadi legenda!!!
Andreas tora,Bravo Gresysia dan Apriyani. 🇮🇩❤️💪👍 Congratulations 😍🏅🥇🏆🌷💐
syaa's home,Thankyou for keeping badminton gold medal tradition of indonesia at the olympic. So proud of you history maker❤️🥺🇮🇩😭🌹💪 you guys are amazing @greyspolii @r.apriyanig 👏👏❤️❤️
Nong Kartika,Bravo....pahlawan olah raga indonesia...bangga bgt
Budioso,"Wah... Selamat ya
Alhamdulillah
Ikut Bangga!
Jaya Indonesia!"
Siti Saniyah,Ikut nangis 😭❤️
literasi aje,"Video ini harus trending, bukti kita bangga utk mereka"
A Ross,"Olah raga adalah pemersatu bangsa, good better atas prestasi olimpiadenya."
Gilang Rahadianata,"Alhamdulillah,selamat buat kalian .. sampe nangis liatnya ⚘⚘⚘⚘⚘⚘💖"
SHOLEH TV,"Sadar gak kalo skornya 21+21+19+15=76
Tahun ini HUT RI ke 76
dan urutan ke 34, itu sama provinsi kita 34 juga Bisa pas begitu ya 🇮🇩🇮🇩🇮🇩"
Novita Bili,Tuhan Memberkati ya kaka Berdua😢😢💪🙏
Nur Hayati,"MasyaAllah terharu melihat perjuangan kalian ,selamat 👍👍"
info penting,Indonesia bangga punya Greysia Polii dan Apriyani Rahayu!❤️🇲🇨
mela sahara,"Alhamdulillah...🎉🤗 Selamat bwt ganda putri Indonesia, terima kasih untuk usaha kalian"
Dion Putra Pratama,"Nangis bgt, terimaksih tuhan 🥺😭"
Gus Éka,"Terimakasih Pahlawan Bangsa😇😇😇, 

Ditengah wabah pandemi melanda dunia , 2 orang ini mampu mengangkat negara kita di kancah internasional, dan mengukir sejarah dari cabang olah raga bulutangkis ganda putri. Ingat Jass Merah, siapapun yang membaca komen saya ini 30 tahun lagi , jangan melupakan  2 orang ini."
Milza Anindya Putri,Tambah nangis gara2 komentator 😭
mustofa12channel,"Melihat perjuangan kalian ..
Membangkitkan jiwa raga ini 
Yang lemah tak berdaya ...
Kini jiwa raga ini semakin mendidih untuk tegap berdiri melangkah maju... "
Acam Dawi,Alhamdulillah ya Allah.. Bangga Menjadi Bagian Dari Nusantara.. jaya terus INDONESIA ku..
Aresta Rahma,Alhamdulillah bangga banget ya Allah😭
Radinka novansyah,Wah bangga banget 🔥🔥🔥
Ridwan Sullivan,"subhanallah semua rakyat indonesia bangga kepada kaka dan semua official, selamat yaa kaa"
Agus Putrawan,Bisa GK nih capai 100 juta viewer di chanelnya olympic biar tembus record juga wkw
Indra Pratama,"Atlit luar biasa
Greysia 
G jd pensiun emas pun diraih"
Alfani Alfannabu,Semua kita pada di buat nangis bangga sama greyap❤❤🇮🇩🇮🇩
nonnie dency,"Congratulation, praise God"
iwankgembel iwankgembel,"ini yang layak trending. bukan yg drama2, yg settingan.
ya Allah... aku sangat bahagia.
maju terus indonesiaku"
Iwan Hermawan,"selamat atas perjuangan mu wahai srikandi ganda putri, INDONESIA PANTAS JADI JUARA"
Juniarto Adi,Terimakasih kak greysia Apriyani atas perjuangan kalian yang luar biasa untuk Indonesia 🇮🇩
Abdul Wati,Wwoooww dlm waktu 6 jam trending 1........Alhamdulillah bangga dan terimakasih polli dan apriani
Aulia Ramadhani,Terimakasih telah berjuang kak
Aseli Subagja,"serius nanya, 5 M nya dibagi dua kah?"
Muhammad Rosyidho,alhamdulillah ya Allah bukti bahwa Allah SWT itu adil Allahuakbar
Liandaaa,Congrastulation 😭❤️
Darna Wati,Mbrebes mili saking terharunya😭
Moel Ghalink,Alhamdulillah... selamat tuk pejuang merah putih dan menjadi kebanggaan Indonesia🤲👏👏👏👍👍
Aisyah Putri,Ayooo up trs untuk Idola Indonesia Kita Ganda wanita ..Greysap
Kambing lapas,Nangis lagi😭 bangga🥇❤️
dr Rin,"Indosiar upload dari awal sampai moment pemberian mendali donk, masih banyak yg tidak menyaksikam karena jam kantor"
Pramudita Putri,ALHAMDULILLAH YA ALLAH.. WE GOT THAT GOLD MEDAL!!
Hadi Channel,Alhamdulillah yaa Allah Terima kasih banyak kado nya dari Kalian berdua  kebanggaan bangsaaa kitaaa
Halo fellas!,"Alhamdulillah, PROUD!! <3"
Lancah Animasi,Kado kemerdekaan 🔥🔥🔥🔥
Rentie Metar,Wow lgsung trending 2 . Kereeen banget kalian
Ilsan 92,Ini Baru pantas Tranding 1
Reshinta Ayu H,PROUD 🇮🇩
cereira Nasaretha Terok,"""bagi Tuhan tak ada yang mustahil"" jadi nyanyi gw"
Rika Cahyati,Valentino jebret nambah suasana makin eugh! Nangis! 😭
Fauzan Maha Putra,"Coba yang trending yang kayak begini, bukan yang pencitraan acara lamaran lh, pdk, artis"" gak jelas"
anisa riskiana,Alhamdulillah..Bangga Utk kita Indonesia. Heran kok msh  ada aja yg dislike videonya...
MAS NAR CHANNEL,Alhamdulillah..emas emas emaaaass...
Suprihatin Eko Rahayu,"Bangga dan haru.... Terimakasih Greysia dan Apriyani, selamat untuk mu Indonesia 👍👍"
Theo Raihaan,"Yg nnton ini nangis ,sini kita kumpul 😭"
squadf,NAIKIN LAGI SAMPE KE TRENDING#1
Yoga Lesmana,"Tayangan ini banyak mengandung bawang merah 😢,, tp tangis bahagia"
Month Dog,Alhamdilillah menang 😭😭😭😭😭
Rety .lltety,Wuaaaaaaaaaaa!!!!! Menang menang menaaaaaagggg. Indonesia akhirnya dapat emas.
Riyan Manokwari,Udah prediksi waktu menang lawan Du li pasti dapat medali
Yan Bistian,Alhamdulillah kado HUT RI ke 76...merdeka🇮🇩
no,"0:43 kita menunggu dulu, kita menunggu dulu ...... hwakckwkekskjdjdjjfjjfjjfjlnhgf😂"
tita una,"Oi PSSI udh ada duluan sebelum NKRI
Prestasi yg membanggakan g pernah ada . Malu sama PBSI apalagi sama angkat besi"
Frz Gemink,"Jojo terlupakan 😭💔, tapi gpp lah yang penting menang 🗿👌"
Mar yadi Mar,alhmdllah ya allah smoga di cbng olah raga lain nya menirukan.
RS Entertainment,Mantap pokok e ...
Muh Rizal,Mntp
Nur Hudah Kamarullah,"Masih nunggu berita ini 40 tahun lagi ""Masih ingatkah kalian dengan pasangan ganda putri bulu tangkis Indonesia Greysia Polii - Apriyani Rahayu yang berhasil mengukir sejarah di Olimpiade Tokyo 2020, beginilah kondisinya sekarang...."""
Mohamad Ilzam,"Secara gx sadar indonesia menang set pertama, 21_19, set ke 2, 21_15.. kalau di jumlah jadi 76, hari dimana thn ini hut RI ke 76 tahun.."
Krisna 08,Siapa kita! Indonesia! Siapa kita! Indonesia...!!!🤘🤘
Walet Emas Entertainment,"Ya allah, aq nangis keluar air mata 😭"
Ary Putra,Terima kasih polli telah menciptakan vaksin Corona buat ina.org yg sesak napas dan jantungan bisa sembuh seketika😀😀😀
ily,Alhamdulillah yaAllah 😭❤️
Alfatih putra prasastra,"Inilah alasan mengapa saya tidak pernah kasar kepada wanita, ketika putra-putra INDONESIA gagal dan disitulah ada putri-putri INDONESIA yg membanggakan nama INDONESIA❤🇮🇩..
Tunjukkan kepada dunia bahwa putri-putri INDONESIA HEBAT.
BRAVO💪"
Justin info,Nangis aku tuh liatnya ;) 🇲🇨🇲🇨🇲🇨
LILY THALIQA AL MIRA S,Ikutt terharuuu😭😭😭😭❤️❤️❤️❤️
Muhammad Rizky,Pertamakali masuk final langsung juara keren gak tuh😎🎉🎉🎉🎉
Rohan Dasilva,Sungguh di luar dugaan kaya mimpi...😭😭😭
Muhammad Lutfi Fauzi,Keren Banget😭
Ted Sprague,Indonesia - The land of Badminton Legends!
Yudha Adi,TERIMA KASIH GREYSIA POLII DAN APRIYANI RAHAYU
Arfa Rizky,Kita ajA yang lihatnya cuma dari youtube menangis apalagi yang berada di sana langsung.selamat kemenangan kalian adalahkemenangan  rakyatindonesia
Syakira09 Channel,"Berulang kali nonton, tetap haru. 
Bangga!"
rey pocis,"Congrats, you are the winner...
GREYSIA n APRI...
History in Indonesia, womens double badminton Gold Medal Winner....
Yeehaaaaa 👍"
Ya udah iya,Komentator nya terlihat sangat bahagya 😭
Erik Dito Tampubolon,"GILA KEREN PARAH WOYY, APA LAGI KOMENTATORNYA BUNG VALEN, GOKILLLLLL !!!!!"
Aji Said Wahyudi,0:03 gue dengernya kuah :v
Bas,"Knp pas gw liat kalah,ntar kalo gw gk liat menang 😅"
grabit pretty,Nah...ini dia trending 1 yg pas
Rindi Yuliadi,Tolong kalahkan trending 1
ardi kurniawan,Standing applause buat mereka. Terima kasih sudah berjuang untuk Indonesia. 🙏
Brian S,"Hebattt, keren banget. Hal hal seperti ini yang patut di banggakan dan viral
Karena mereka berkarya dan berprestasi
Semoga masyarakat Indonesia terus mendukung bagi orang yg berkarya
Semangat 🔥🔥🔥"
Kristina Tina,Selamat 😭😭😭😭
Jess No Limit,Luar biasa
Andria Soendjaja,"🥇🥇

Selamat pasangan ganda putri Indonesia 🇮🇩
Greysia Polii dan Apriyani Rahayu"
